HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-03T07:00:00+00:00,2022-01-03T08:00:00,DK2,1877.14,514.27,89.24,144.82,28.4,,,0.17,86,325.74,888.52,475,100,-726
2022-01-03T08:00:00+00:00,2022-01-03T09:00:00,DK1,3138.04,335.09,154.15,454.75,11.68,1.99,3.25,5.64,90.83,2454.11,1162.01,223,-17,-1566
2022-01-03T08:00:00+00:00,2022-01-03T09:00:00,DK2,1934.08,473.42,83.93,136.16,31.37,,,6.1,83.49,446.05,869.51,612,17,-772
2022-01-03T09:00:00+00:00,2022-01-03T10:00:00,DK1,3201.7,340.37,155.43,343.18,11.8,1.99,3.25,21.79,90.86,2597.64,1152.81,114,-187,-1277
2022-01-03T09:00:00+00:00,2022-01-03T10:00:00,DK2,1987.83,502.45,85.09,138.08,35.23,,,16.69,85.99,474.43,917.97,657,187,-1057
2022-01-03T10:00:00+00:00,2022-01-03T11:00:00,DK1,3246.36,352.47,150.54,307.02,11.35,1.99,3.2,42.79,92.44,2782.36,1154.83,161,-553,-1088
2022-01-03T10:00:00+00:00,2022-01-03T11:00:00,DK2,2000.09,488.88,81.97,133,34.05,,,22.17,83.17,497.54,931.07,201,553,-969
2022-01-03T11:00:00+00:00,2022-01-03T12:00:00,DK1,3176.43,356.72,148.94,307.22,10.94,1.99,3.16,51.34,91.77,2865.13,1173.84,353,-591,-1436
2022-01-03T11:00:00+00:00,2022-01-03T12:00:00,DK2,1957.85,495.38,78.57,127.45,33.13,,,31.99,81.8,491.02,917.6,-21,591,-821
2022-01-03T12:00:00+00:00,2022-01-03T13:00:00,DK1,3129.74,309.96,168.15,329.14,9.45,1.99,3.02,51.16,90.31,2923.38,1163.2,271,-591,-1513
2022-01-03T12:00:00+00:00,2022-01-03T13:00:00,DK2,1948.4,490.22,77.14,125.15,32.73,,,32.63,82.64,494.73,925.09,-54,591,-804
2022-01-03T13:00:00+00:00,2022-01-03T14:00:00,DK1,3118.25,268.84,193.88,342.39,10.77,1.99,3.15,33.86,91.45,2943.57,1166.75,307,-591,-1562
2022-01-03T13:00:00+00:00,2022-01-03T14:00:00,DK2,1925.02,487.94,68.18,110.61,29.95,,,24.78,81.94,489.06,893.74,-554,591,-257
